ANO_CINEMATOGRAFICO,G_QTDE_TIT_DIF_EXIB,G_QTDE_DIF_TIT_EXIB_BR,G_QTDE_DIF_TIT_EXIB_EST,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO_GRUPO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,CAPACIDADE_TOTAL_GRUPO,OCUPAÇÃO_MÉDIA,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,CUMPRIMENTO_NORMALIZADO,DIAS_FUNCIONAMENTO,QTDE_DIF_TIT_EXIB,QTDE_DIF_TIT_EXIB_BR,QTDE_DIF_TIT_EXIB_EST,REGISTRO_GRUPO
2017,43,0,43,41759,515715.2975027591,907,1.0,1,1,1,1.0,250.0,226750.0,0.18416317530319756,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.8007015306122449,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.3611045436777292,,,,,d7c04e8a3b4c466e9e757dc8899a8654
2017,39,0,39,45002,656795.882417438,1567,1.0,1,1,2,2.0,272.0,426224.0,0.2131649182262703,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9477551020408164,1.2285714285714286,0.7714285714285714,0.7714285714285714,0.38865586909524175,,,,,5c77430c1d1b4096a6d4fa761a87d28d
2017,56,0,56,84803,1148845.9090407058,1694,1.0,1,1,2,2.0,449.0,760606.0,0.2217353261646558,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.7570918367346938,0.5071428571428571,0.5071428571428571,0.5071428571428571,0.35331593764464125,,,,,f0cf63405ce64b6ca7cdad32e89aba39
2017,41,0,41,27102,293474.022989764,868,1.0,1,1,1,1.0,216.0,187488.0,0.14455325140809025,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.8966836734693878,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.37885690806494104,,,,,4f91f821c0854a96a91e7bf80696dbce
2017,7,0,7,1806,13417.078918719264,179,1.0,1,1,1,1.0,122.0,21838.0,0.08269988094147812,28.0,28.0,20.175342999999998,20.175342999999998,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.24197072451914334,,,,,6d64452ea89e4b4e8bed40697d9a473d
2017,27,0,27,48369,437258.3027137263,706,1.0,1,1,1,1.0,220.0,155320.0,0.31141514293072353,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.4375,0.25,0.25,0.25,0.30113743215480443,,,,,2b7669cfa58445a5b181eda1306e65e9
2017,45,0,45,2821,50819.41270858993,656,1.0,1,1,1,1.0,50.0,32800.0,0.08600609756097552,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,2.357142857142857,0.0,0.0,0.15884015441915675,,,,,291e6726f65a45dcb2ec91e1b53f290b
2017,24,0,24,396,4115.16615703142,92,1.0,1,1,1,1.0,130.0,11960.0,0.033110367892976555,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9741709183673468,1.1607142857142858,0.8392857142857142,0.8392857142857142,0.3938232501484804,,,,,4b513d8d92164fa68cb5602512e08426
2017,132,0,132,209408,3649112.2372975517,6065,1.0,1,1,6,6.0,1034.0,6271210.0,0.20815933137637624,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.99190952101005,1.08994708994709,0.91005291005291,0.91005291005291,0.3973317230738505,,,,,67de4098d8864f428eb66822b3831bc7
2017,129,0,129,69429,745721.7470386537,2522,1.0,1,1,2,2.0,354.0,892788.0,0.1691399445562805,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.6226530612244898,0.3857142857142857,0.3857142857142857,0.3857142857142857,0.3303468874284921,,,,,33eb62b399ce42d99aeaca19d8dadb5d
2017,53,0,53,62915,586058.5490621194,2608,1.0,1,1,2,2.0,472.0,1230976.0,0.10221970209004874,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.8163265306122449,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3639367217154837,,,,,362d08ada8114c1ab3984996bb96c769
2017,8,0,8,2217,22504.68063254133,190,1.0,1,1,1,1.0,1535.0,291650.0,0.007601577232984743,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.20280612244897955,0.10714285714285714,0.1071428571428571,0.1071428571428571,0.2677944763458458,,,,,99a61635c7244a9099cd4f7401b8839c
2017,8,0,8,565,6010.760659499375,63,1.0,1,1,1,1.0,450.0,28350.0,0.019929453262786598,28.0,28.0,24.317809,24.317809,24.32,0.0,0.0,0.7221253624913435,0.4728618421052632,0.4728618421052632,0.4728618421052632,0.3471925159197288,,,,,7e0fb7ee334c494b8f75a06c9b8bcd37
2017,62,0,62,20111,87423.30812750051,781,1.0,1,1,1,1.0,110.0,85910.0,0.23409381911302535,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9540816326530612,1.2142857142857142,0.7857142857142858,0.7857142857142858,0.3898872372672994,,,,,5330247490174a6da94cea2b89e98f3b
2017,30,0,30,60996,462098.22757005744,1107,1.0,1,1,2,2.0,342.0,378594.0,0.32144376093436633,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.6734693877551021,0.42857142857142855,0.4285714285714286,0.4285714285714286,0.3388479357567876,,,,,1adb2742d3bd4bf88aa8dcf5268ae538
2017,49,0,49,109245,1299417.964681553,2411,1.0,1,1,2,2.0,747.0,1801017.0,0.15338096538269916,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9681122448979592,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.3926320321210658,,,,,c3dcb30a1b64455e92f962c1b907f972
2017,29,0,29,22102,305886.8699280161,927,1.0,1,1,2,2.0,312.0,289224.0,0.16165883047363178,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.4587244897959183,0.2642857142857143,0.26428571428571423,0.26428571428571423,0.30435019348615794,,,,,cf9a34b69fb74db589fcd9c13f0f6d03
2017,52,0,52,299701,3147269.9981969944,3559,1.0,1,1,3,3.0,993.0,3534087.0,0.2567847361020919,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.9948979591836736,1.0714285714285714,0.9285714285714286,0.9285714285714286,0.3979258674986881,,,,,240df7ff8b9b479f88023d666393f669
2017,52,0,52,26351,251081.5992629018,741,1.0,1,1,1,1.0,200.0,148200.0,0.1778070175438598,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.859375,1.375,0.625,0.625,0.37185509386976895,,,,,7b9fbeedc8c84a989b42f82d92e8f0fc
2017,54,0,54,79415,956010.996072991,3463,1.0,1,1,4,4.0,753.0,2607639.0,0.11978390730131488,49.0,49.0,48.99999725,48.99999725,49.0,0.0,0.0,0.7265136922115785,0.4770408163265306,0.4770408163265306,0.4770408163265306,0.34795514990423443,,,,,a3c26628f0954132987e912935d13519
