ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,DATA_HORA_SESSAO,DIAS_FUNCIONAMENTO,TOT_SALAS_FUNC,REGISTRO_SALA,SALAS_COMPLEXO_INFERIDO,ASSENTOS_COMPLEXO_INFERIDO,UF_COMPLEXO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIU_COTA,TOTAL_SALAS,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,REGISTRO_COMPLEXO,REG_EMPRESA,REGISTRO_GRUPO,CEP_COMPLEXO,MUN_COMPLEXO
2017,86,509168,9448525.330577614,7314,363,0,7,7.0,2032.0,RS,63.0,63.14285714285714,55.96715,56.11000714285715,38.324285714285715,0.9453227886499678,0.7661684124203227,124.5,0.0,SIM,7.0,324.25412301587306,1.2338315875796773,0.38818348995957214,0.8447736954218177,a77084e969a34ec3836d950127e35c6a,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,e38df216f15b4d1c81cc2f7a7f3e2400,34580f7f76a348c7877aa5eeb1448d8c
2017,116,521098,8464837.802449182,11036,363,8,10,10.0,2091.0,MS,56.0,56.0,55.9761402,55.9761402,70.726,0.9993708574799312,0.9749172864293189,0.0,147.5,SIM,10.0,364.8444852321428,1.0250827135706813,0.3988168043622185,0.9981137596516978,f1480fdf97074d508d3d4307b6e49e8a,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,0afbcf40ac064f6890d777d794c45f19,5f59074985cf4c1294e8ff6d2c8a0b8f
2017,110,396944,5557813.495920894,9089,363,0,8,8.0,2599.0,AM,60.0,60.0,59.986617625,59.986617625,70.42375,0.9975105499142062,0.9501056106782158,0.0,83.5,SIM,8.0,364.91859055208334,1.0498943893217842,0.3984460158748623,0.9925502263997849,154a05c8f97c4a978332fe125a911548,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,92287da05f2f46faa5a6b23ab23c42d5,36fe37382c5c4819981d523ebde74b43
2017,123,547836,9717283.508929722,11685,363,0,10,10.0,2487.0,SP,56.0,56.0,55.9840853,55.9840853,62.583999999999996,0.9983189266258132,0.9589991052026076,0.0,66.0,SIM,10.0,364.8962702589286,1.0410008947973923,0.39860709566599023,0.9949652531497812,23d3a2efcb3b4d768d4fb070c92bb9b1,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,770c300d2f4544ba93d438a29159ef26,efadaff4511e4d6f86e2a3e6d316d99c
2017,115,631104,11099886.075876893,11993,363,8,10,10.0,2091.0,SP,56.0,56.1,55.99997550000001,56.099975500000006,62.15,0.99850878515827,0.9613837489943684,0.0,60.5,SIM,10.0,364.99984031250006,1.0386162510056316,0.3986449369411891,0.9955330233238758,bfb4636c7d3046f29415c6ead87bc37a,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,fdb4ee84cec24eaeabcd8ffd13186389,73164c106fdd4e7c804366432966acf2
2017,112,631052,15330414.171304587,9672,361,7,8,8.0,2018.0,SP,60.0,60.25,59.973261625,60.223261625,52.66125,0.9988623049861411,0.9662702651380284,60.5,0.0,SIM,8.0,364.8373415520833,1.0337297348619716,0.3987154076139451,0.9965907965356816,416aa792de4f43ec9532232b5afb284c,ece07a8568474219a2ba613292d4f91a,262e75fb409748f7bd23fc73f5d64916,14cf467580e447f6b9d05cec4bb8e17b,73164c106fdd4e7c804366432966acf2
2017,76,326463,3423281.7894453914,5062,364,0,4,4.0,751.0,PE,49.0,49.0,48.99999725,48.99999725,49.0,0.9874010828821324,0.8877551020408163,0.0,0.0,NÃO,4.0,364.9999795153061,0.8877551020408163,0.3964370590921366,0.9626774469237368,991e3ad8365145fdb6b79d10f79d8549,0ee144e45cd24a948d25e0b3dbb0e4be,bf8cd191b9804679bd5b789883f95ea0,abb03a81d2cc41a8abaee922964b9273,27ae4127cdb541d49434c66ba74d016f
2017,80,249066,3179489.561055091,5462,334,0,5,5.0,1094.0,MG,56.0,56.0,56.0,56.0,63.0,1.0,1.0,0.0,35.0,SIM,5.0,365.0,1.0,0.3989422804014327,1.0,40d3a59e7d444d10848c591752c3db39,9a547a2cf8f3493a8fb28277bf8058e4,e40f3e228f434e5c9b4bfc88279e7856,1d724585c3ef4bd5a76bbdb1532051aa,cda09dc4a8c3463e987898b29e8011d0
2017,81,313782,5008196.760429529,6257,316,0,6,6.0,1252.0,MG,63.0,63.08333333333334,63.0,63.08333333333334,58.41666666666666,1.0,1.0,28.0,0.0,SIM,6.0,365.0,1.0,0.3989422804014327,1.0,1c57b30c6db64cb498ea547f1bd5837a,9a547a2cf8f3493a8fb28277bf8058e4,e40f3e228f434e5c9b4bfc88279e7856,0f2c8683dbba482e82dd56ee0c57dae3,b98ab3f94cdc40d9a18f8d50070d32de
2017,30,41282,662001.0706054294,1121,355,1,1,1.0,154.0,SP,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.6071428571428571,0.0,0.0,NÃO,1.0,365.0,0.6071428571428571,0.3693144238737143,0.6047730045217926,de4e0bbe70d74673b6296d2f49055186,1d2b75f504a54da89eb4de9b8c17e2ea,3d1a95e5ed024a6a87b535505d09194e,158b9125e20c4f60a63280d694f09f90,d1188cf82d0a46b5b4556a491a86cb8c
