ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,DATA_HORA_SESSAO,DIAS_FUNCIONAMENTO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,REGISTRO_GRUPO
2017,24,22867,309196.37525114266,709,293,1,1,1,1.0,289.0,28.0,28.0,28.0,28.0,28.0,0.7844387755102041,0.3581801719959186,0.0,0.0,0.5357142857142857,0.5357142857142857,0.5357142857142857,30a11a80230b43fda939800761a43491
2017,251,530352,6527506.773213398,9823,360,1,1,7,7.0,1486.0,63.0,63.0,63.0,63.0,63.0,0.9972799399427194,0.39840007571129815,0.0,0.0,0.947845804988662,0.947845804988662,0.947845804988662,9e8d7d32911849f9b85c33645a0bb3a1
2017,34,42070,673262.0226476787,1201,363,1,1,1,1.0,154.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,e6a24a11f8e34d4aa0ffa49cb2e814b8
2017,71,84089,643823.9918087171,2157,285,1,1,2,2.0,418.0,35.0,35.0,34.999998,34.999998,35.0,0.9981632653061224,0.3985760730199877,0.0,0.0,0.9571428571428572,0.9571428571428572,0.9571428571428572,6931d60166804a7d84137110584ad28a
2017,38,35226,420675.88811984134,1062,180,1,1,2,2.0,260.0,35.0,35.0,34.999998,34.999998,35.0,0.5199489795918368,0.3138111072336933,0.0,0.0,0.3071428571428572,0.3071428571428572,0.3071428571428572,f2442a31c0894931a85c40e2739d0711
2017,50,6128,66649.54494033508,543,279,1,1,1,1.0,724.0,28.0,28.0,28.0,28.0,28.0,0.984375,0.3958376869447495,0.0,0.0,1.125,0.875,0.875,7911b2ea4c3348eda387eb3d1a9f7a6e
2017,31,17902,104196.13813804476,423,272,1,1,1,1.0,270.0,28.0,28.0,28.0,28.0,28.0,0.979591836734694,0.39489213993026107,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,bb5f8b19b06346f09b92029730dc0ee0
2017,43,40439,607958.4259053773,984,362,1,1,1,1.0,172.0,28.0,28.0,28.0,28.0,28.0,0.9987244897959184,0.3986879340406525,0.0,0.0,0.9642857142857144,0.9642857142857144,0.9642857142857144,b6f203f8989b44c0a3364a5269cec78c
2017,23,2413,13361.832975441996,483,131,1,1,1,1.0,73.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0010511468401100184,0.0,0.0,4.446428571428571,0.0,0.0,6bcaf24668064dea9787072f47960d07
2017,50,49469,688326.9050727678,1556,357,1,1,2,2.0,559.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,2b5ae179db584a669d65f218b74662e6
2017,164,109533,1941285.7431423943,4935,339,1,1,4,4.0,408.0,49.0,49.0,48.99999725,48.99999725,49.0,0.7820634631403582,0.35775502961079536,0.0,0.0,0.5331632653061225,0.5331632653061225,0.5331632653061225,18a8b6ccdcf34fa3a332d6d3a05b91df
2017,128,55611,448262.57293513906,1133,328,1,1,1,1.0,293.0,28.0,28.0,26.465753999999997,26.465753999999997,26.47,0.0,0.10973131484601688,0.0,0.0,2.606724593879864,0.0,0.0,f28e6e67b37347bc9a627135062bc601
