ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,DATA_HORA_SESSAO,DIAS_FUNCIONAMENTO,TOT_SALAS_FUNC,REGISTRO_SALA,SALAS_COMPLEXO_INFERIDO,ASSENTOS_COMPLEXO_INFERIDO,UF_COMPLEXO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIU_COTA,TOTAL_SALAS,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,REGISTRO_COMPLEXO,REG_EMPRESA,REGISTRO_GRUPO,CEP_COMPLEXO,MUN_COMPLEXO
2018,24,2096,15453.43887435488,242,163,0,1,1.0,105.0,BA,28.0,28.0,28.0,28.0,28.0,0.3211417091836736,0.17607142857142866,0.0,0.0,SIM,1.0,365.0,1.8239285714285716,0.2841174191337433,0.03311998590930797,eb3641b1589f4c70956eaf73cd225457,bf18d468c97d4fa8bfd6ffd749b21f6d,32453e181c684b14aae93a447291a381,fd1c3c63277448ec9fd390e54725e692,846c981ef5374e2e9f212466590cdaa1
2018,6,2213,34953.54187763921,51,50,1,1,1.0,111.0,RJ,28.0,28.0,26.849315999999998,26.85,26.85,0.9188227583408758,0.7150837988826817,0.0,0.0,SIM,1.0,350.0000121428572,1.2849162011173183,0.3830739781425419,0.7757025714258852,4a6e41a4694d441a82509754b2330b2d,d71aa57066a44386b3a55e95d3c9afd7,24ecb24476f74276b41959217730d8f4,48b27e03652c4a1887b43a34ed6b8101,78363cf312774852a58a00b2d3365f4f
2018,11,29623,256873.29606120902,886,247,5,4,4.0,816.0,PR,49.0,49.1,48.99999725,49.1,49.1,0.989733481692875,0.8986761710794298,0.0,0.0,SIM,4.0,364.9999795153061,1.1013238289205702,0.3968996534409161,0.9695155671676928,4eb9d721c53b4d01b7377c3dad85eb2b,8004211622114929a4a5528e8d17f33c,23620d76e77b4b2a83751aa376be8bf3,efa53602b9454242b8a1997362e33eea,b0d964a12649433c8357c9081a05e1f0
2018,13,42044,372498.2730704178,943,252,2,4,4.0,631.0,CE,49.0,49.5,48.99999725,49.5,49.5,0.9451304866850322,0.7657575757575759,0.0,0.0,SIM,4.0,364.9999795153061,1.234242424242424,0.3881461675299576,0.8442582568888314,b23533a29976495ca0162ecdb58b0e89,cf9497466ce94ff38195571aa125c7cb,fd4659b465b7435da845fb95c4e29d20,33da68cbe16e496c8af48a4a90ed242a,1357c6d128024049adee8d7f3e53e4fe
2018,4,331,4032.688800804542,30,13,0,1,1.0,84.0,RJ,28.0,28.0,28.0,28.0,28.0,0.530775,0.31499999999999995,0.0,0.0,NÃO,1.0,365.0,0.315,0.3155143757052033,0.14953104795923436,0cdf1142a6f24fc1a789f143d20cc5e4,2c0d63978f3d478d8da52ec65b03487d,04b54c70b02841ca957b374d5fc1f1ac,ecdf3a3bd91841ca8bf8d375185c2c27,aa1b4cc63a0c4af68087722e78745088
2018,7,4536,55525.15740052609,257,169,1,1,1.0,204.0,SP,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,SIM,1.0,365.0,2.094642857142857,0.2191365942519168,0.0,cf0c48bb762e4f568151be94c8e05ec7,c3725df73ad24cd7887d23644bf9673b,fb718528e75a404b9fd0ed683405c202,ed003e0aa7324c09acbe76b2d0e3f426,0bf7d9f0b314445283701670da01e171
2018,14,41668,206722.54781577483,1291,285,0,6,6.0,714.0,MG,63.0,63.75,63.0,63.75,63.75,0.9524930965013456,0.7820392156862745,0.0,0.0,NÃO,6.0,365.0,0.7820392156862745,0.3895776852314773,0.8641427885342801,bf9608bbc2ea42c999494e2599f177ca,c616e677b13d4e04997882482654525b,8fd1f87be2724fb7bb82e82074938880,551592b62e384b8fbe11d598a018e149,cda09dc4a8c3463e987898b29e8011d0
2018,22,103888,1146514.871451677,1599,294,6,5,6.0,1675.0,BA,63.0,63.0,63.0,63.0,53.60166666666667,1.0,1.0,56.39,0.0,SIM,6.0,365.0,1.0,0.3989422804014327,1.0,9455327547a041aa80925cca334b458d,2c817ff2661245999a82a4ea8a253101,42bb446098824daeac91659984d28a98,2004254cdfa24c58b5ac34e2315f8444,846c981ef5374e2e9f212466590cdaa1
2018,7,2928,36030.23629465468,125,105,0,2,2.0,270.0,PR,35.0,35.0,34.999998,35.0,35.0,0.8456632653061225,0.6071428571428572,0.0,0.0,SIM,2.0,364.9999791428571,1.3928571428571428,0.3693144238737143,0.6047730045217926,f87d5901bbce44c0a583b7df1fb6fb79,f3ec5c3a2aa84082a446af742f903ced,7ced3696e8ec41c6a528e3cc4a5a53dc,6186c0a2f84d4c16a1f3322098f56599,f66b9ee47540405c9937299335b7b457
2018,10,10638,98866.1407308909,250,160,0,2,2.0,422.0,SP,35.0,35.0,34.999998,35.0,35.0,0.9999382653061224,0.9921428571428572,0.0,0.0,NÃO,2.0,364.9999791428571,0.9921428571428572,0.3989299663017078,0.9998148073516492,bf65cbb2d11a425092a0b1a994955246,a1caa5b1b8b64a47a469bd698df7e65b,68866a84f490457dbd92a4d7ef0a78d7,3e2ad57ae93041f5b8de40ab6d420c70,074b4b4e396c42268051e170fc7a161c
