ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,QTDE_EMPRESAS,QTDE_COMPLEXOS,QTDE_SALAS,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMP_QUADRATIC,CUMP_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMP_LINEAR,CUMP_TRIWEIGHT,REGISTRO_GRUPO
2017,21,1189,23916.267357108285,115,1.0,1,1,1,1.0,111.0,28.0,28.0,28.0,28.0,28.0,0.9282525510204082,0.384884396854388,0.0,0.0,0.7321428571428571,0.7321428571428571,0.7321428571428571,fb09979cd288497db54925e04ba50128
2017,56,233018,2667957.464146701,4430,1.0,1,1,4,4.0,631.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9885204081632653,0.3966589922014887,0.0,0.0,1.1071428571428572,0.8928571428571428,0.8928571428571428,0788b3fcedbb41199f4551ed13ab66f6
2017,49,11889,245097.47136035856,562,1.0,1,1,1,1.0,84.0,28.0,28.0,28.0,28.0,28.0,0.9948979591836736,0.3979258674986881,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,992e0a0bb2ca463fb9bd249051b6fc4b
2017,52,143998,804984.2629563303,3594,1.0,1,1,6,6.0,714.0,63.0,63.33333333333334,63.0,63.33333333333334,63.33333333333334,0.6783916204986149,0.33968290701827697,0.0,0.0,0.4328947368421053,0.4328947368421052,0.4328947368421052,9c8fc003505e420bb6f4d46bd48a64a6
2017,40,31661,323192.1534156719,844,1.0,1,1,2,2.0,270.0,35.0,35.0,34.999998,34.999998,35.0,0.6138265306122449,0.3288921913122502,0.0,0.0,1.6214285714285714,0.37857142857142856,0.37857142857142856,13b5ff8f07684b7983af9ffe884ecc85
2017,48,49778,602486.3081359924,1476,1.0,1,1,2,2.0,422.0,35.0,35.0,34.999998,34.999998,35.0,0.4481632653061224,0.3027472740504621,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,52e6b168e460455b99f1f6b0a2472f86
2017,49,60311,689134.8442887805,1816,1.0,1,1,2,2.0,303.0,35.0,35.0,34.999998,34.999998,35.0,0.6652551020408164,0.3374590929180804,0.0,0.0,0.4214285714285714,0.4214285714285715,0.4214285714285715,69ce851e65c24590bd8b8295f04d8d44
2017,51,11572,196047.3771322849,797,1.0,1,1,1,1.0,120.0,28.0,28.0,28.0,28.0,28.0,0.234375,0.2720549983785435,0.0,0.0,0.125,0.125,0.125,af65600408154f50b4e4cf6f570a5517
2017,34,17150,202052.49873380444,611,1.0,1,1,1,1.0,200.0,28.0,28.0,28.0,28.0,28.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,a002d7a9cc3b4ed3af6946cd4b6083f4
2017,19,63650,1627985.4777407632,903,1.0,1,1,1,1.0,347.0,28.0,28.0,28.0,28.0,28.0,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,3be871155e5945b19ad63630c070367a
2017,57,35771,571703.1611781393,763,1.0,1,1,1,1.0,300.0,28.0,28.0,28.0,28.0,28.0,0.5395408163265305,0.31690028116770225,0.0,0.0,0.32142857142857145,0.3214285714285714,0.3214285714285714,d6de5d28531c40d687f7dee099fe2fe1
2017,97,41600,411137.52711135935,3070,1.0,1,1,2,2.0,374.0,35.0,35.0,34.999998,34.999998,35.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,8343564d8ff24ad297d44f5f1edc1919
2017,32,12505,97300.99746183144,392,1.0,1,1,1,1.0,218.0,28.0,28.0,28.0,28.0,28.0,0.859375,0.37185509386976895,0.0,0.0,0.625,0.625,0.625,315ba15261324275bc1a382887746750
2017,38,10582,111026.85284705393,919,1.0,1,1,1,1.0,106.0,28.0,28.0,28.0,28.0,28.0,0.6935586734693877,0.34226869363860024,0.0,0.0,0.44642857142857145,0.4464285714285714,0.4464285714285714,ed598c63351643a4b60ca77cef01f5b7
2017,17,1302,10208.957395628571,181,1.0,1,1,1,1.0,150.0,28.0,28.0,28.0,28.0,28.0,0.0,0.07111703852909346,0.0,0.0,2.8571428571428568,0.0,0.0,038d901449b2408385cb8e6703584861
2017,35,10648,125291.11790674373,481,1.0,1,1,1,1.0,260.0,28.0,28.0,17.490410999999998,17.490410999999998,17.49,0.8393589933445591,0.36815212741062864,0.0,0.0,1.4008004574042312,0.5991995425957688,0.5991995425957688,3bf4974c8c2441aba3de967825db91d2
2017,69,170791,2548771.8972394704,4382,1.0,1,1,4,4.0,720.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9518690129112868,0.3894561396759072,0.0,0.0,1.2193877551020411,0.7806122448979591,0.7806122448979591,9ead2b4e7c1443c9b94b5ac74bd73bec
