REGISTRO DO COMPLEXO,REGISTRO DO GRUPO,NOME DO GRUPO,REGISTRO DA EMPRESA,NOME DA EMPRESA,NOME DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,CUMPRIU COTA,ANO,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
12975,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,702 CINEMARK VITORIA,8,479.786093,480.0,479.79,480,479.79,563.83,12,40,SIM,2018,0.0,0.0,60.0,60.0,59.973261625,59.97375,59.97375,1.175159965818379,364.83734155208333,0.9693189863745043,0.8248400341816211,0.39286900628460486,0.9107520521219872
12977,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,703 CINEMARK FLORIANOPOLIS .,7,441.0,441.0,441.0,441,377.0,399.07,11,19,SIM,2018,64.0,0.0,63.0,63.0,63.0,63.0,53.857142857142854,1.0585411140583554,365.0,0.9965729379648066,0.9414588859416446,0.3982592657802252,0.9897540079069979
14884,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,704 CINEMARK BARRA SUL,8,479.99979,480.0,480.0,480,416.0,440.98,12,38,SIM,2018,64.0,0.0,60.0,60.0,59.99997375,60.0,52.0,1.060048076923077,364.9998403125,0.9963942284578402,0.9399519230769231,0.3982236810115668,0.9892216432580059
902,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,705 CINEMARK CENTRAL PLAZA,10,559.999755,560.0,560.0,560,560.0,748.75,15,27,SIM,2018,0.0,0.0,56.0,56.0,55.999975500000005,56.0,56.0,1.3370535714285714,364.99984031250006,0.8863948899872449,0.6629464285714286,0.37691292431028434,0.6964368317263355
2530,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,706 CINEMARK ARACAJU,9,531.0,531.0,531.0,531,531.0,712.62,14,47,SIM,2018,0.0,0.0,59.0,59.0,59.0,59.0,59.0,1.3420338983050848,365.0,0.8830128124102269,0.6579661016949152,0.3762760885441352,0.6884953565208084
905,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,708 CINEMARK MANAUS,8,362.465691,480.0,362.47,480,362.47,440.23,12,25,SIM,2018,0.0,0.0,60.0,60.0,45.308211375,45.30875,45.30875,1.2145280988771485,275.62495253124996,0.9539776947921564,0.7854719011228515,0.3898669757710703,0.8681897644442724
906,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,709 CINEMARK PRAIAMAR,10,559.205247,560.0,559.21,560,559.21,701.74,15,45,SIM,2018,0.0,0.0,56.0,56.0,55.9205247,55.92100000000001,55.92100000000001,1.2548774163552154,364.48199134821425,0.9350375026320902,0.7451225836447846,0.3861923251619316,0.8174987361607549
898,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,710 CINEMARK SP MARKET,11,581.928792,583.0,581.93,583,749.93,786.79,17,30,SIM,2018,0.0,168.0,53.0,53.0,52.90261745454546,52.90272727272727,68.17545454545454,1.049151254117051,364.3293466209263,0.997584154218721,0.9508487458829491,0.39846067981563554,0.992769957489053
895,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,711 CINEMARK TATUAPE,8,479.892941,480.0,479.89,480,479.89,507.0,12,22,SIM,2018,0.0,0.0,60.0,60.0,59.986617625,59.98625,59.98625,1.0564921127758444,364.91859055208334,0.9968086411941213,0.9435078872241556,0.39830620404357037,0.9904564453921887
2531,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,712 CINEMARK COLINAS,8,479.99979,480.0,480.0,480,480.0,511.52,12,37,SIM,2018,0.0,0.0,60.0,60.0,59.99997375,60.0,60.0,1.0656666666666665,364.9998403125,0.9956878888888889,0.9343333333333335,0.3980830652720476,0.9871193693926732
