ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,QTDE_EMPRESAS,QTDE_COMPLEXOS,QTDE_SALAS,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMP_QUADRATIC,CUMP_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMP_LINEAR,CUMP_TRIWEIGHT,REGISTRO_GRUPO
2017,24,22867,309196.37525114266,709,1.0,1,1,1,1.0,289.0,28.0,28.0,28.0,28.0,28.0,0.7844387755102041,0.3581801719959186,0.0,0.0,0.5357142857142857,0.5357142857142857,0.5357142857142857,086b6c0fdc964368a2057cd13c512922
2017,251,530352,6527506.773213398,9823,1.0,1,1,7,7.0,1486.0,63.0,63.0,63.0,63.0,63.0,0.9972799399427194,0.39840007571129815,0.0,0.0,0.947845804988662,0.947845804988662,0.947845804988662,bacde60f6ec54a96b47e33b2f17c0baf
2017,34,42070,673262.0226476786,1201,1.0,1,1,1,1.0,154.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,75984adcf0084fe9bd265a8c5b074eea
2017,71,84089,643823.9918087171,2157,1.0,1,1,2,2.0,418.0,35.0,35.0,34.999998,34.999998,35.0,0.9981632653061224,0.3985760730199877,0.0,0.0,0.9571428571428572,0.9571428571428572,0.9571428571428572,8f8557d0d5f242358518322117daeef6
2017,38,35226,420675.88811984134,1062,1.0,1,1,2,2.0,260.0,35.0,35.0,34.999998,34.999998,35.0,0.5199489795918368,0.3138111072336933,0.0,0.0,0.3071428571428572,0.3071428571428572,0.3071428571428572,5ef951fd8a954398a72b14c19754dea5
2017,50,6128,66649.54494033508,543,1.0,1,1,1,1.0,724.0,28.0,28.0,28.0,28.0,28.0,0.984375,0.3958376869447495,0.0,0.0,1.125,0.875,0.875,5c81c691b5834e31b4a192c92b26a7d5
2017,31,17902,104196.13813804477,423,1.0,1,1,1,1.0,270.0,28.0,28.0,28.0,28.0,28.0,0.9795918367346941,0.39489213993026107,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,ed64993280e1475e9eb4c7d019636295
2017,43,40439,607958.4259053773,984,1.0,1,1,1,1.0,172.0,28.0,28.0,28.0,28.0,28.0,0.9987244897959184,0.3986879340406525,0.0,0.0,0.9642857142857144,0.9642857142857144,0.9642857142857144,2436778f71e54417b574588890dec855
2017,23,2413,13361.832975441997,483,1.0,1,1,1,1.0,73.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0010511468401100184,0.0,0.0,4.446428571428571,0.0,0.0,7f88aa4397f442da9bdfca93dc93289c
2017,50,49469,688326.9050727679,1556,1.0,1,1,2,2.0,559.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,f04178720ebe4c6dbd57b035a5ead5e5
